entry_id	figure	panel	source	record_type	independent_unit	notes	sha256
prospective.learning.conditions	figS19	text	source_data/prospective_input_validity/central_valid_condition_summary.csv	panel_source	paired independent training seed (n=10 per condition)	Input-valid condition means and paired-seed bootstrap intervals plotted in the figure.	6cec074da04134eb245087e30871cfe44c9b6da4b41a53d67971939348cb591e
prospective.learning.contrasts	figS19	text	source_data/prospective_input_validity/central_valid_paired_contrasts.csv	panel_source	paired independent training seed (n=10 per condition)	Input-valid neuron-identity and exact-transport contrasts.	97daf3dd204e444401d6335eae54ac57d905135111bae0c84f66a6a8868e332e
prospective.clean_exact_bp.runs	figS19	text	source_data/clean_exact_bp/run_outcomes.csv	panel_source	paired independent training seed (n=10 per task-core-depth condition)	All 320 accepted clean-source exact-transport and backpropagation runs with artifact and checkpoint audit fields.	a50a63fd1ce4f403c2669d7001a8d4d161d1362c24f2aacd5dc74ab189d2e76f
prospective.clean_exact_bp.pairs	figS19	text	source_data/clean_exact_bp/paired_differences.csv	panel_source	paired independent training seed (n=10 per task-core-depth condition)	All 160 seed-, task-, core- and depth-matched exact-minus-backpropagation differences.	3177ff0bf6e40d7856209c7f61b3250bc2191ba30db995a5b52ff5e6471aeeeb
prospective.clean_exact_bp.conditions	figS19	text	source_data/clean_exact_bp/condition_summary.csv	panel_source	independent training seed (n=10 per condition)	Accuracy summaries for both methods, tasks, cores and four depths.	10c4b4f38e3ac6594bee7297e3516354ba5201b846d07a6816ff97ee4844ef41
prospective.clean_exact_bp.contrasts	figS19	text	source_data/clean_exact_bp/exact_bp_contrasts.csv	panel_source	paired independent training seed (n=10 per task-core contrast)	Depth-specific and within-seed depth-averaged exact-transport-minus-backpropagation contrasts.	ad8f6c4f41864fe6bc337c9bf25a4d70ec3a8d183b7a7b05f14a9db9f28abfbe
prospective.clean_exact_bp.summary	figS19	text	source_data/clean_exact_bp/summary.json	panel_source	complete 320-run audit	Detached source commits, completeness gates, accepted evaluation paths and numerical difference bounds.	04898c0d623cff3b685a52b60d3c2e73e7ed374d331cfc7f41d10141740f2aad
prospective.mechanism.asset	figS9	all	figures/supplementary/figure_S09_panels_A-D.pdf	figure_asset	independent input-valid trained checkpoint (n=120)	Validity-qualified prospective fixed-checkpoint credit-to-loss diagnostic.	3cca7fab86d97ea582f77afee3bce7e1f6edd4f87a44daa4c1fbca8285aa34c3
prospective.mechanism.rows	figS9	a-d	source_data/prospective_input_validity/mechanism_checkpoint_rows_valid.csv	panel_source	independent input-valid trained checkpoint (n=120)	All 2,400 input-valid checkpoint-by-field-by-step rows; only non-somatic dendritic stages enter the geometry.	10fb629c9eb0a946b700a0b699139e006aefd2dff389ab06ba4cd6bc01ce8e77
prospective.mechanism.association	figS9	d	source_data/prospective_input_validity/mechanism_association_summary_valid.csv	panel_source	independent input-valid trained checkpoint (n=120)	Spearman associations with checkpoint-clustered bootstrap intervals at all four relative steps.	670380a03087bea86633b582514ed89ceab7d778e814ae51e268fe62d6023547
prospective.mechanism.feedback	figS9	a-c	source_data/prospective_input_validity/mechanism_feedback_summary_valid.csv	panel_source	independent input-valid trained checkpoint (n=120)	Primary-step input-valid feedback-family means and descent counts.	a041b4d9fcc0cb7bbb1aa78e7159b6de2073ddc9a833722cdb6b2aad54c97345
fig3.e	figS20	h	source_data/figure3/typed_only_compression_curves.csv	panel_source	biological cell (n=8)	Direct-presynaptic-type-only sensitivity analysis shown in Supplementary Fig. 20H.	2dfbc13b8917ce3b1780e839a1d2c8705fa73fd04d57ec1f894a820584b86f5b
fig4.d.primary	figS21	f	source_data/figure4/summary.json	panel_source	biological cell (n=8)	Primary conductance-scale and reversal-potential summary.	293365e2de054f895eb6260f324f1c493091c8b32e6ce63f78098222507462c4
fig4.d.scale01	figS21	f	source_data/figure4/scale0p1_summary.json	panel_source	biological cell (n=8)	Conductance-scale sensitivity.	363f0ff944d146624bafea13a702c039ebb164233ee08bf91a385497bfbb255f
fig4.d.scale10	figS21	f	source_data/figure4/scale1p0_summary.json	panel_source	biological cell (n=8)	Conductance-scale sensitivity.	b7960427ad6318f35e4f56b26f284e04681053092378e813ef603b2e385a3f01
fig4.d.irevm05	figS21	f	source_data/figure4/irevm0p5_summary.json	panel_source	biological cell (n=8)	Inhibitory-reversal-potential sensitivity.	b9ab0438d26908b7f2c2c58bc3da6ba392c7e00257c1207e62dbed30472cc262
fig4.d.irev0	figS21	f	source_data/figure4/irev0_summary.json	panel_source	biological cell (n=8)	Inhibitory-reversal-potential sensitivity.	fa780ea41a4f9de6d89099916cfc2ae2d59cbc02720308c0ff4e55818f4a61a1
fig6.b-d	figS22	d-f	source_data/figure5/task_target_method_means_ch4.csv	panel_source	target cell with ten fixed stimulus splits averaged within target (n=7)	Four-channel held-out capture, learning, target contrasts, and within-target relation.	09c7bc76ab5e7b6a2da69652232f260b871c326506fcd77cca7a5f014b3c0c00
fig6.e.ch1.targets	figS22	h	source_data/figure5/task_target_method_means_ch1.csv	panel_source	target cell with ten fixed stimulus splits averaged within target (n=7)	Independent-target values for the one-channel morphology-minus-shuffle sensitivity contrast.	fbe4c7946044758d4da429f288fac428f6ef163317949b2ee74d26f2efe3902d
fig6.e.ch2.targets	figS22	h	source_data/figure5/task_target_method_means_ch2.csv	panel_source	target cell with ten fixed stimulus splits averaged within target (n=7)	Independent-target values for the two-channel morphology-minus-shuffle sensitivity contrast.	3b75ab4d9fb539b7d986a0d39e1560a6163001a57ba88fb8f756e21821fb4a17
fig6.e.ch8.targets	figS22	h	source_data/figure5/task_target_method_means_ch8.csv	panel_source	target cell with ten fixed stimulus splits averaged within target (n=7)	Independent-target values for the eight-channel morphology-minus-shuffle sensitivity contrast.	3617d30ea4a4943fcff787f502c9cfca2eaaa45b16a2526cb33141563938186e
fig6.e.ch1	figS22	h	source_data/figure5/task_summary_ch1.json	panel_source	target cell (n=7)	One-channel sensitivity summary.	a4a923764d80756c903ca778a22fa17afa48b7b75521b7b51aa4ebbdf51dc57b
fig6.e.ch2	figS22	h	source_data/figure5/task_summary_ch2.json	panel_source	target cell (n=7)	Two-channel sensitivity summary.	7b8aead9e63ac8eb9df3164c59043fd53423eb92147bf98fc40e3c77318b00cd
fig6.e.ch4	figS22	text	source_data/figure5/task_summary_ch4.json	panel_source	target cell (n=7)	Four-channel primary summary, including the target-stratified within-target association test.	ef0ac688f7deae057f0ffbd566328267afb6d8929d0fcd2e72862870ae42769c
fig6.e.ch8	figS22	h	source_data/figure5/task_summary_ch8.json	panel_source	target cell (n=7)	Eight-channel sensitivity summary.	c1286859153bbdc5be82dc63c1fee84c38b6eba9c0226face6dcfdaffb2605b3
fig7.asset	figS5	all	figures/supplementary/figure_S05_panels_A-H.pdf	figure_asset	reconstructed cell (n=8)	Final alignment-controlled sufficiency figure with embedded TrueType fonts.	c2c79a27e0cfa2a40cdaea956db33e0abe1060efe7e73e31f98ea35795a6572a
fig7.b-c	figS5	c-f	source_data/alignment_controlled/alignment_controlled_curves.csv	panel_source	reconstructed cell with Monte Carlo streams nested within cell (n=8)	Cell-level capture, one-step and iterative progress curves, including morphology advantage.	225e2b6da2a15b9b9a1f6795d2b6388c10aa4bd58810a1ce499115b3261cc33b
fig7.d	figS5	f-h	source_data/alignment_controlled/cell_alignment_metrics.csv	panel_source	reconstructed cell (n=8)	Cell-level capture, one-step, and 20-step progress relations.	06313b5b2dda421cbff871f1d7a8bfc53b036fbd314f3cb53501a5fcc842de0c
fig7.contrasts	figS5	f	source_data/alignment_controlled/cell_paired_contrasts.csv	panel_source	reconstructed cell (n=8)	Paired morphology-minus-control contrasts.	b516333ab5ce38edcadf4e67cc7b53eb65e7d585ffce95cdfb0db3ce5eeea7e3
fig7.dictionary	figS5	a-h	source_data/alignment_controlled/dictionary_audit.csv	panel_source	reconstructed cell with streams nested within cell	Effective rank, nonzero count, and dictionary audit.	991ef59d560972a09c6052a45f76f4de45fa14eae7f885fe12efe08bf705aeca
fig7.summary	figS5	a-h	source_data/alignment_controlled/summary.json	panel_source	reconstructed cell (n=8)	Frozen design, endpoint contrasts, and scope boundaries.	6e3e199b6d672c93c2822aa23f538d733acb121695bed12a3d69c19cbdd66111
fig5.asset	figS10	all	figures/supplementary/figure_S10_panels_A-H.pdf	figure_asset	biological cell	Main public-v661 sensitivity figure; 47 routing cells, 45 focal cells, and 40 relation-control cells.	123bcf43dbf1b85ab53e1b5a618f7dde0077ec77c81ee4ddac3bc3bf7a0c91f2
fig5.a-b	figS10	b-e	source_data/microns_v661_replication/supp_figure_routing_curves.csv	panel_source	biological cell (n=47 through 8 channels)	Cell-level routing curves, wiring-capture trade-off, and eight-channel structural controls; one cell has fewer than 16 eligible excitatory-bearing segments.	270d5dca2dea107b4540fc71b7c415966d4608b31ab6371a053dd7df67ea9017
fig5.c-d	figS10	f-g	source_data/microns_v661_replication/supp_figure_focal_cells.csv	panel_source	biological cell (n=45 shunt-additive; n=40 relation control)	Cell-averaged focal localization for Fig. S10f-g; 235 and 230 focal sites are nested within cells.	82f7bd2ad26940ec13ec3adb9bf8bbf4d2eb2f107c701133ff6e38265fb96e9c
fig5.summary	figS10	a-h	source_data/microns_v661_replication/replication_summary.json	panel_source	biological cell	Frozen estimands, paired contrasts, numerical validation, public-source provenance, and limitations.	22b5b5abc9b0c476b7fe985994f11406c2f7332d81898cd12346be28651b3ce7
fig5.cohort	figS10	a-h	source_data/microns_v661_replication/cohort_manifest.csv	panel_source	candidate reconstructed cell (n=55)	All frozen candidates, original-pilot exclusions, source URLs and hashes, cell types, and endpoint eligibility.	9286e5d5f8278c6219d609201e3d620ed3c9590e498fb7126414410380d820a5
fig2.init.runs	methods	initialization control	source_data/figure2/initialization_factorial_runs.csv	panel_source	paired independent training seed (n=15 per architecture and policy)	Complete 2-by-2 architecture-by-initialization-policy factorial underlying the main-text operating-point control.	6218e6f571c9f3cb096b8439c1686135791f13a21e4e5bd02bbddcfb27756f67
fig2.init.summary	methods	initialization control	source_data/figure2/initialization_factorial_summary.csv	panel_source	paired independent training seed (n=15 per architecture and policy)	Derived condition means, sample standard deviations, standard errors, and counts.	a6bd6beb378a4845f529522fa1dfd0597ab5906408a27b01bd49db4a272902e9
fig2.init.tests	methods	initialization control	source_data/figure2/initialization_factorial_paired_tests.csv	panel_source	paired independent training seed (n=15)	Derived paired architecture, policy, and interaction comparisons.	03d9a2845b94d1095abdc24f29ef7cc0f10b3c1dadf1e402689a13cfe7015f2d
fig4.typed.effects	figS21	g	source_data/figure4/direct_typed_category_effects.csv	panel_source	reconstructed cell; 55 focal sites nested within 8 cells from one animal	Direct-type-only descendant, sister, ancestor, and unrelated effects.	cd5af039d3a1db2ab86e0776d9c167b3385e342e0173d80e4e0a263ac8158162
fig4.typed.cells	figS21	g	source_data/figure4/direct_typed_cell_primary_contrasts.csv	panel_source	reconstructed cell (n=8; one animal)	Cell-level direct-type-only shunt, additive, and reassigned-relation localization values.	4ec8591159cf342336addc005ab9f234772532bb93df6b6b9ece285ba3af925b
fig4.typed.sites	figS21	g	source_data/figure4/direct_typed_focal_localization.csv	panel_source	reconstructed cell; 55 focal sites nested within 8 cells from one animal	Per-site direct-type-only perturbation dose response.	d621ec84ce5ab16fe81d042f2b15656dc0167dc95c0ec05cd8b7f400dd24a7fc
fig4.typed.summary	figS21	g	source_data/figure4/direct_typed_summary.json	panel_source	reconstructed cell (n=8; one animal)	Frozen estimand, interval, sign count, numerical checks, and parameters for the direct-type-only control.	a756fb30f638fa8f72f30a0889c415f6f9d6674426dc58a31f2d7bff93e433b3
fig2.feedback_relevance.runs	methods	feedback diagnostic	source_data/figure2/feedback_learning_relevance_runs.csv	panel_source	independent trained checkpoint (n=5 per architecture)	Fixed-checkpoint error-field, eligibility-weighted gradient, and norm-matched one-step diagnostics over three frozen data splits.	66d70356b1677fe78d8e55e4721c354f85ce334faff88940dccfeda81b5da6b0
fig2.feedback_relevance.summary	methods	feedback diagnostic	source_data/figure2/feedback_learning_relevance_summary.csv	panel_source	independent trained checkpoint (n=5 per architecture)	Convenience summary of the feedback-to-step diagnostic; the figure is generated from run-level values.	03ce98320856fa7191a7459516f6d9b7f421bb5c6fc9b5af691e0c0c7adec795
regimes.asset	figS4	all	figures/supplementary/figure_S04_panels_A-E.pdf	figure_asset	independent training seed	Five-panel regular-tree boundary sheet: retained depth, noise and CIFAR-10 tests, the raw-additive CIFAR-10 confirmation and the Fashion-MNIST replication.	099440ac84a38ad019a34b27da87be9ae759cedfdf275440df3366ab8baecce9
regimes.tasks	figS4	archived	source_data/regular_tree_regimes/competence_summary.csv	panel_source	independent training seed (n=5 per condition)	MNIST, Fashion-MNIST, and context-gating competence controls. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.	910f02452fa106238696940882e27987f2951d75fca5190ebacaffe02ed268a0
regimes.inhibition	figS4	archived	source_data/regular_tree_regimes/inhibition_dose_summary.csv	panel_source	independent training seed (n=5 per condition)	Task-dependent inhibitory-synapse-count sweep. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.	5901c5187d1c027f2a1e3f266d6e5d87e2c60f77c7e772f8543122e84bef95fe
regimes.depth	figS4	a	source_data/regular_tree_regimes/depth_scaling_summary.csv	panel_source	independent training seed (n=5 per condition)	Nominal dendritic-depth stress under local learning and matched backpropagation.	8abd538efd42ba314ca87f3c1df4bcc5c6cb0cf8356ed6f96095fb5915410113
regimes.noise	figS4	b	source_data/regular_tree_regimes/broadcast_noise_summary.csv	panel_source	independent training seed (n=5 per condition)	Gaussian teaching-signal-noise stress.	c158876c0641478c89aa4bbad91ff10e847ae20701438ead995cf41d7d403add
regimes.rules	figS4	archived	source_data/regular_tree_regimes/rule_family_summary_source.csv	panel_source	independent training seed (n=3 per condition)	Within-shunting three-, four-, and five-factor descriptive comparison. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.	e963b222fff43e7921f1be8d75196cf5f306576fc2afcb5667e0a7520eccbbdf
regimes.error_source	figS4	archived	source_data/regular_tree_regimes/error_source_runs.csv	panel_source	independent training seed (n=3 per condition)	Somatic teaching error versus unmatched local teaching quantity. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.	3e2911aeb66ac6811932afba66ee33311a6854d13a1b1f3c269486cc2287c908
regimes.controls.exact	figS4	archived	source_data/regular_tree_regimes/exact_transport_summary.csv	panel_source	independent training seed (n=5 per condition)	Exact-transport mechanism controls. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.	15092918e7cabe98d3eabff4d90b2dd3f3004331fc237e0da0aef732aa2a369b
regimes.controls.bp	figS4	archived	source_data/regular_tree_regimes/backprop_reference_summary.csv	panel_source	independent training seed (n=5)	Matched backpropagation reference for the mechanism controls. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.	b4419337a67c9aa438418c2b15d8eb1d3bd056dd7d4043cf7fecf9e16cf2774f
regimes.controls.additive	figS4	archived	source_data/regular_tree_regimes/additive_controls_summary.csv	panel_source	independent training seed (n=5 per condition)	Additive gain and normalization controls. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.	522ba4f6d672a021ea3ce14464673887a65cc005b9b4d4bb118aab68634e41f7
regimes.controls.reactivation	figS4	archived	source_data/regular_tree_regimes/reactivation_controls_summary.csv	panel_source	independent training seed (n=5 per condition)	Identity versus learned reactivation control. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.	8685717cc082127721271525c8c1b3d92c14344968d610879c54cde635750f2b
regimes.feedback	figS4	archived	source_data/regular_tree_regimes/noise_feedback_ladder_summary.csv	panel_source	independent training seed (n=5 per condition)	Scalar, path-propagated, random low-rank, and exact feedback on the noise task. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.	4816a217300a02e44123c887232aaa173365cfc9746693c9bac1534cb6c3ccbd
regimes.cifar	figS4	c	source_data/regular_tree_regimes/cifar10_control_ladder_runs.csv	panel_source	independent training seed (n=5 per condition)	Flattened CIFAR-10 harder-data mechanism control; not a competitive vision benchmark.	0a09c474bf872b782b91cd6973161a0410aca643627907a3e62cbabee93a0af2
regimes.cifar.confirm.outcomes	figS4	d	source_data/cifar10_additive_feedback_ladder_confirmatory/seed_outcomes.csv	panel_source	paired independent training seed (n=20)	Fresh raw-additive strict-scalar, neuron-specific, exact-path and matched-backpropagation outcomes; all 80 fits passed integrity and convergence audits.	914982dd63f6dfbe655048629e8fdce0e3733956526372748900d19337e36aad
regimes.cifar.confirm.conditions	figS4	d	source_data/cifar10_additive_feedback_ladder_confirmatory/condition_summary.csv	panel_source	paired independent training seed (n=20)	Condition means, standard deviations and Student-t confidence intervals for the fresh ladder.	ea74786d4583d3d1545f03c1d8d575a717c45b74925d8e375db389340504df51
regimes.cifar.confirm.contrasts	figS4	d	source_data/cifar10_additive_feedback_ladder_confirmatory/paired_contrasts.csv	panel_source	paired independent training seed (n=20)	Frozen paired contrasts, Holm correction, exact sign-flip sensitivity tests and seed differences.	cc19f7467e39e25c2f708ed7ff99b63c0f02a76ca0c6a85c940827b1a813186d
regimes.cifar.confirm.audit	figS4	d	source_data/cifar10_additive_feedback_ladder_confirmatory/summary.json	panel_source	80-run configuration and provenance audit	Frozen claim-gate decisions, BP adequacy, TOST equivalence, source identity and convergence status.	1f105a882f4436afcf99281c01595f1a49894704400990e83ddfbff27b46e8b0
regimes.cifar.confirm.contract	figS4	d	analysis/CIFAR10_ADDITIVE_FEEDBACK_LADDER_CONFIRMATORY_20260828.md	panel_source	frozen before confirmatory outcomes; implementation clarification before outcome inspection	Design, inferential family, adequacy and promotion gates, plus source-determined input-mode and sparse-maintenance clarifications.	c73e8daa195b9ac8277bbccc8d7bf848250afcfc11a162d8c23175debfd597d2
inhcensus.asset	figS12	all	figures/supplementary/figure_S12_panels_A-J.pdf	figure_asset	reconstructed target cell (n=20; one mouse)	Synapse-resolved inhibitory organization and structural route capacity.	20fae4305da8049789fab4d9c90a4348673387f275335a891fc3c8ac4ee7761b
inhcensus.cohort	figS12	a-c	source_data/microns_inhibitory_routes/cohort_overlap.csv	panel_source	reconstructed target cell (n=20; one mouse)	Stable-ID overlap, layer-diverse examples, and inhibitory-class accounting.	34a9cee42858d853320b6fb81ad531001c46d5a495f68bd13389fe2d366949a4
inhcensus.connections	figS12	d-f	source_data/microns_inhibitory_routes/inhibitory_connection_topology.csv	panel_source	inhibitory connection nested within reconstructed target cell (n=20; one mouse)	Matched same-axon tree distance, shared path, and descendant-domain overlap.	d42b85e660902fac8980dba12b9e031bc211d886356fbfaa131477b9df1cd77c
inhcensus.targets	figS12	d-h,j	source_data/microns_inhibitory_routes/target_metrics.csv	panel_source	reconstructed target cell (n=20; one mouse)	Target-level connection, inhibitory-class domain, placement-null, and route-capacity outcomes.	e59415ef0228bf46d2e794b2cf08dda9de57fbfd0488ecea9be166e0073bceac
inhcensus.routes	figS12	i-j	source_data/microns_inhibitory_routes/route_capture_curves.csv	panel_source	reconstructed target cell (n=20; one mouse)	Actual inhibitory-site route-capacity curves and matched structural controls.	444fe80f62582a7900c2a7e8af616a7b5e9d0361e7087689133bfbfabc651572
fig8.alignment.cells	figS5	g-h	source_data/alignment_controlled/cell_alignment_metrics.csv	panel_source	reconstructed cell (n=8)	Cell-level relation between initial credit capture and 20-step progress.	06313b5b2dda421cbff871f1d7a8bfc53b036fbd314f3cb53501a5fcc842de0c
fig8.alignment.dictionary	figS5	a	source_data/alignment_controlled/dictionary_audit.csv	panel_source	reconstructed cell with streams nested within cell	Effective rank, nonzero count, and dictionary audit.	991ef59d560972a09c6052a45f76f4de45fa14eae7f885fe12efe08bf705aeca
fig8.animal.schematic	figS17	a	scripts/build_alignment_animal_figure.py	panel_source	not applicable	Programmatic schematic of the known P+ and P- causal signs.	6d26dfd73b0e02db56fc43862195500bc175ab5bfab880fe2686717147fbf3f4
animalcredit.asset	figS17	a-b	figures/supplementary/figure_S17_panels_A-B.pdf	figure_asset	animal (n=6)	External signed-coordinate consistency test.	cd7de316fd16b3108f466b3a6bf83469763914651eae007ae6b23ec697b8a1e7
animalcredit.contrasts	figS17	text	source_data/animal_learning_francioni/animal_signed_contrasts.csv	panel_source	animal (n=6)	Animal-level paired contrasts supporting supplementary text; S17B itself shows descriptive neuron means and SEM.	95ea629fa2882a4715cafa1a63a280cec935f62a2ed2ec91b611ce48146b9190
animalcredit.modes	figS17	text	source_data/animal_learning_francioni/animal_common_signed_modes.csv	panel_source	animal (n=6)	Orthogonal common and signed mode decomposition.	0d2c54650882230d1db1771c18fdbdbb3be269923a2741bc6f4a655dafb19380
animalcredit.neurons	figS17	b	source_data/animal_learning_francioni/neuron_sd_residual_distributions.csv	panel_source	neuron nested within published condition; descriptive only	Neuron-level source distributions used only for visualization.	01a7b3252f5d341b4c9d82e661842b4773c21ce8bdb28e54375ed69a162398d2
animalcredit.schematic	figS17	a	scripts/analyze_francioni_signed_credit.py	panel_source	not applicable	Programmatic source schematic of the known P+ and P- causal signs.	ed3f231d8f29c18d06034e4769b74a5ecf731a5892ff6deddb6258963b781802
interference.asset	figS6	all	figures/supplementary/figure_S06_panels_A-D.pdf	figure_asset	exact analytic grid	Supplementary static route-overlap and leakage prediction.	4fd825c4ad49248801fe1553f16da173f62509436ca18ee648b4916c57ab6b3e
interference.surface	figS6	b-c	source_data/branch_interference/interference_surface.csv	panel_source	exact analytic grid (101 by 101)	Exact forgetting surface and explicit vector verification.	c9ba41c3d8b6b241dbc9b23782970fb1580c98232e6864c3bb9ed7258f2bf81d
interference.schematic	figS6	a,d	scripts/analyze_branch_credit_interference.py	panel_source	not applicable	Programmatic route-interference schematic and bounded cross-study prediction.	1880a9c73f22f74e8e3413bb8a785e89bce161028b02f201ac279372650053c2
prospective.routing.runs	figS45/figS19	g/text	source_data/prospective_input_validity/followup_publication_seed_outcomes.csv	panel_source	paired independent training seed (n=10 per condition)	Filter family=routing; all 120 input-valid correct-versus-fixed-deranged outcomes.	26e3edbe4f6cb4252c783a7054d8915a489e3979d85dda04e6076bc276a80eae
prospective.routing.contrasts	figS45/figS19	g/text	source_data/prospective_input_validity/routing_valid_paired_contrasts.csv	panel_source	paired independent training seed (n=10 per condition)	Correct-minus-deranged effects in six input-valid conditions.	e8a7751b95f5e94dbef3aadb609a4048f9a196ba13c156fe5bb1f7a91f93a318
prospective.dose.conditions	figS8	a-d,g-i	source_data/prospective_input_validity/followup_publication_condition_summary.csv	panel_source	paired independent training seed (n=10 per condition)	Input-valid additive fixed-budget condition summaries; stable entry identifier predates the validity audit.	336f30ee527c981ce79421a5b847e7825ec3bc64468a3656202559d7c573d39c
prospective.dose.contrasts	figS8	e-f	source_data/prospective_input_validity/followup_publication_paired_contrasts.csv	panel_source	paired independent training seed (n=10 per condition)	Input-valid additive fixed-budget contrasts; stable entry identifier predates the validity audit.	4bd51d25b3569863f73d09febd766f0a7fceb104b859ff9e2f30dfab5cc8821f
subtree.phase1.outcomes	figS19	a-b	source_data/trained_subtree_address/seed_outcomes.csv	panel_source	paired independent confirmatory seed (n=10 per condition)	All 80 frozen K=2 trained subtree-address runs across eight conditions.	cd4afc501bca0edf3bf95261fcca7aabfba6bdf353aa4c0459836598ec48b8e7
subtree.phase1.gradients	figS19	text	source_data/trained_subtree_address/gradient_audit.csv	panel_source	paired independent confirmatory seed (n=10 per condition)	Eligibility-weighted gradient capture, cosine, and norm-matched one-step progress.	5d150e7e1cf1d1b383ea9d007c620b37b426c8ec7058f8a151eb49dc73c22385
subtree.phase1.contrasts	figS19	a-b	source_data/trained_subtree_address/paired_contrasts.csv	panel_source	paired independent confirmatory seed (n=10)	Prespecified correct-minus-deranged, shared, random, and gated-point comparisons.	514545e0a16e88026cbd947b3bfdf7ec3517a22ae50fb2a1b93b29405428185d
