artifact	origin	origin_sha256	journal_copy	journal_modification
local post factor	src/dendritic_modeling/training/strategies/local_learning_parts/local_learning_post_factors_mixin.py	fd3726a27272013ef6d6f3f5b95d38d46d1ed6c56940992d26b5fa0ec76f062a	code/regular_tree/additive_reference.py	additive_gain_mode none and error recursion documented; no training implementation copied
feedback resolved shunting config	drafts/dendritic-local-learning/local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_0/config.json	34cb8012a30e21150e3428b984c9c41747e791fa4a5b7a12edaef3cb163d9ae4	configs/regular_tree/archived_resolved/feedback_shunting_scalar_seed47.json	private data and result paths replaced
feedback resolved additive config	drafts/dendritic-local-learning/local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_20/config.json	a5bc3b46bd91098b756dfb4e38c407c85cced372ca35b469be26bcd1f470d221	configs/regular_tree/archived_resolved/feedback_additive_scalar_seed47.json	private data and result paths replaced
exact-transport resolved config	drafts/dendritic-local-learning/local_sweep_runs/revision_exact_transport_factorial_mnist_5seed_20260624152116/results/config_0/config.json	29d15c411cceed1ca2c6b61ff9a08f99913ece183217ae661563b477b51cd15c	configs/regular_tree/archived_resolved/exact_transport_3f_local_seed42.json	private data and result paths replaced
backprop resolved config	drafts/dendritic-local-learning/local_sweep_runs/revision_exact_transport_bp_mnist_5seed_20260624152116/results/config_0/config.json	100e5f533020950155a082fac92b6e0bd335a8393e0ca6f003118036d3f9e6ae	configs/regular_tree/archived_resolved/backprop_seed42.json	private data and result paths replaced
exact-transport result table	drafts/dendritic-local-learning/figures/data/revision_exact_transport_factorial_grouped.csv	15092918e7cabe98d3eabff4d90b2dd3f3004331fc237e0da0aef732aa2a369b	configs/regular_tree/reported_exact_transport_factorial.csv	byte-identical copy
backprop result table	drafts/dendritic-local-learning/figures/data/revision_exact_transport_bp_grouped.csv	b4419337a67c9aa438418c2b15d8eb1d3bd056dd7d4043cf7fecf9e16cf2774f	configs/regular_tree/reported_backprop_reference.csv	byte-identical copy
feedback seed rows 42-46	drafts/dendritic-local-learning/figures/data/feedback_definition_mnist_3f.csv	cd98550ef563c456b4dc1d9fdede4eeb65e5281870fe16eb35b6059c6f2f5abc	configs/regular_tree/reported_feedback_definition_15seed.csv	20 source rows merged with the complete 40-run extension; numeric values unchanged
feedback extension frozen manifest	drafts/dendritic-local-learning/local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/frozen_sweep_manifest.json	7cbcdff3c1beb7519be74fc27737498764658b0fd4ec8266dc20e417dd45bf9b	configs/regular_tree/feedback_definition_extra10_frozen_manifest.json	byte-identical copy; covers seeds 47-56 only
morphology reconstruction	drafts/dendritic-credit-routing/analysis/analyze_microns_morphology_credit.py	cd1fcbb26d7a96d0a13882fdcfcc0493a2fa30296ccb83a7f26b7efd3373714f	code/reconstructed_tree/analyze_microns_morphology_credit.py	byte-identical copy
structural robustness	drafts/dendritic-credit-routing/analysis/test_morphology_compression_robustness.py	eccf14a37d809c39c3ca97f9ffc68d6ef60e22fd648081e07876453d13b83d35	code/reconstructed_tree/test_morphology_compression_robustness.py	byte-identical copy
routing capacity	drafts/dendritic-credit-routing/analysis/analyze_credit_routing_capacity.py	dfb8534fce444df303bf01551ca231f29c1325c82db4ef7693241d692465d5c5	code/reconstructed_tree/analyze_credit_routing_capacity.py	byte-identical copy
focal shunting perturbation	drafts/dendritic-credit-routing/analysis/run_focal_shunting_credit_perturbation.py	6c35734a6f4a32bdd8e6c96b47ad4b0c3419a5eac3d43a0e7039d53754d86eae	code/reconstructed_tree/run_focal_shunting_credit_perturbation.py	adapted with an optional conductance-system injection hook for the exact factor-freeze control; default behavior unchanged
credit-capture bound verification	drafts/dendritic-credit-routing/analysis/verify_credit_capture_bound.py	915bb21ef3fcd5819514fd478f98246bdd4a98460130d9c7d3cc44d11aee2293	code/reconstructed_tree/verify_credit_capture_bound.py	byte-identical copy
archived additive alias	src/dendritic_modeling/config/model_aliases.py	ea57ca43f5b7379bc4cb9b9617a01955eb1dcf48275326e1e120f80687533d24	code/regular_tree/source_snapshots/model_aliases.py	byte-identical to archived commit c39fa5798
archived branch dynamics	src/dendritic_modeling/networks/architectures/excitation_inhibition/dendritic/branch_dynamics.py	b8b9162d7798132627b977c22d1e86a2b2a124b3c7bd67063925d68830cee0d0	code/regular_tree/source_snapshots/branch_dynamics.py	byte-identical to archived commit c39fa5798
archived parametric tanh	src/dendritic_modeling/networks/activations/parametric.py	78d77f5258433da149c1a7eea2b28666cc1ab332441f764def783efb847e8236	code/regular_tree/source_snapshots/parametric.py	byte-identical to archived commit c39fa5798
archived 4F covariance	src/dendritic_modeling/training/strategies/local_learning_parts/local_learning_rho_mixin.py	0d9cc05726941accb6017631378f6d6eeb7f7f3e1a318c15496ca288c0abf911	code/regular_tree/source_snapshots/local_learning_rho_mixin.py	byte-identical to archived commit c39fa5798
archived 5F residual factor	src/dendritic_modeling/training/strategies/local_learning_parts/local_learning_phi_mixin.py	f00a6eda7e2a48480b0eac69d03313cc96a65c17222e14b032d9e9424d40d7d5	code/regular_tree/source_snapshots/local_learning_phi_mixin.py	byte-identical to archived commit c39fa5798
archived local post factors	src/dendritic_modeling/training/strategies/local_learning_parts/local_learning_post_factors_mixin.py	fd3726a27272013ef6d6f3f5b95d38d46d1ed6c56940992d26b5fa0ec76f062a	code/regular_tree/source_snapshots/local_learning_post_factors_mixin.py	byte-identical to archived commit c39fa5798
archived 4F/5F clamps	src/dendritic_modeling/training/strategies/local_learning_parts/local_learning_hsic.py	cf7408dd0cb2474fe3ba33a7636860b5aaee47fea1e93b3f76f97bba06f26720	code/regular_tree/source_snapshots/local_learning_hsic.py	byte-identical to archived commit c39fa5798
