condition,feedback,seed,config_index,validation_accuracy,test_accuracy,n_epochs_recorded,best_epoch,best_validation_loss,final10_validation_slope,right_censored,active_optimizer_group_count,active_learning_rate,sparse_active_weight_maintenance_rate,adam_weight_decay,calibration_converged,calibration_reverted,pairing_projection_sha256,calibration_signature_sha256,generated_config_sha256,resolved_config_sha256,result_sha256,checkpoint_sha256,training_summary_sha256,calibration_sha256
cifar10_raw_additive_matched_bp_confirmatory,backpropagation,10803,63,0.4912000000476837,0.5047999620437622,62,22,1.4432015773773192,0.000934747929428549,False,1,0.001,0.01,0.0,True,False,81053957b0a1bf01599ca388e816744701e9817d48881bccaaf147bd288b6e5d,2a6f136bf225c7b6d8620c0372584ff99c432e41f10aa6bc87f049d9c650d87a,1c8580f2b3c27fa13c0c90d73bfe00ec6ed0aab8859827a61b2951594e69a370,f09c9e9f054313a3f9dcb17af79a46a63efd3efa01bbdef8727d8693612e615d,9136f8d894f9cae9705d68423cf7c3995145a58fb4981d641e3666afe6ea3161,0d91245aacf2d7d70713139d78f27e3023a68580760ee5f73c197a5fc6892594,0acd46a4c227e2331468dcf1eab0804e01a2ee83ec406cd4f979bc5190880072,32d54d305b4386de2b0da8d82b952b3841cb03ecd8172270a7b1d2bcf2b3add1
cifar10_raw_additive_exact_path_confirmatory,exact path,10803,43,0.49239999055862427,0.5063999891281128,72,32,1.451580343055725,0.0011714168259591737,False,1,0.001,0.01,0.0,True,False,81053957b0a1bf01599ca388e816744701e9817d48881bccaaf147bd288b6e5d,2a6f136bf225c7b6d8620c0372584ff99c432e41f10aa6bc87f049d9c650d87a,112281f3a74f55d6b32c2dd22534aee6fb722c40a2e80648378ef7f8a5bf84e5,57b2f44087470e8f15c3b5f62da48275f41648f8ea0e8460565823acdb8bfac2,cee1fa14249147b33f6071479632cb46b8d074ad5d9a8b455d45a8c3aeb63c18,d239e54ab21648c3938588ca9df31f5032fe9cbb915fc4f71c5724ba529efb6c,e4ec260b4dd511d09d31929c9e95e2620ae1d54436b07dc3a7f20515e9ae71e2,32d54d305b4386de2b0da8d82b952b3841cb03ecd8172270a7b1d2bcf2b3add1
cifar10_raw_additive_neuron_specific_confirmatory,neuron specific,10803,23,0.4966000020503998,0.5059999823570251,87,47,1.4213773433685302,0.004697334704543602,False,1,0.001,0.01,0.0,True,False,81053957b0a1bf01599ca388e816744701e9817d48881bccaaf147bd288b6e5d,2a6f136bf225c7b6d8620c0372584ff99c432e41f10aa6bc87f049d9c650d87a,ca81e19345884ed371f6d77f3fa2ba690441f1b0bdd1987aabbe95e234c2b2aa,92ef26ffe49adfc2db17f5964560bf76152196e3a2b4c3d1a15a81693425dbcb,3c74709cf2eb4ae2e43faacda719e47fb2f7665c4446626c75a26944e136b3ad,dd465843f2532f09294f22ec3d90ce5bda85aeb75e4e6574b8033a557939f881,4545904b4cf5c67444e155f7befc9ee1068ae64e92391496733acc7182a1d82b,32d54d305b4386de2b0da8d82b952b3841cb03ecd8172270a7b1d2bcf2b3add1
cifar10_raw_additive_strict_scalar_confirmatory,strict scalar,10803,3,0.3393999934196472,0.33550000190734863,102,62,1.7800591142654418,0.004653880081176744,False,1,0.001,0.01,0.0,True,False,81053957b0a1bf01599ca388e816744701e9817d48881bccaaf147bd288b6e5d,2a6f136bf225c7b6d8620c0372584ff99c432e41f10aa6bc87f049d9c650d87a,f72a7ec1d0a482db36af6e2203dd5424d723375fed7251624ddc204306b3081d,af364e3f930d43217417744f1f87115c2cc3a24190e315ec3e0b860f72cce0ee,bcd1e71842aaa381933fb0a37d6858018709eb3848118cdbdb5a7f5758e8398a,14614cce323b7c2d3bbfa9f6f270b69207a3903ba753a448239a2abbd3cc1642,8be66ecec9526e22e96e51f9cf173ec17efda163313fa056fe3b75210b8c3cfe,32d54d305b4386de2b0da8d82b952b3841cb03ecd8172270a7b1d2bcf2b3add1
cifar10_raw_additive_matched_bp_confirmatory,backpropagation,10804,64,0.5067999958992004,0.5042999982833862,64,24,1.3911464658737183,0.002297661465731492,False,1,0.001,0.01,0.0,True,False,f2d9948222110494083fc31ad44cda388b241bd6fcb00ab23c1d50a450b99f47,cb5554f1f436e379bbab1ecd38639f58b81aec186506597d83a47fb6145b4ea7,ae764a9010a43165d7794d5232f29d4b3a8fd51277015adecdb7aa1061041140,076d2a4b9d0c10fe156313db2f6b0b05053f7c75f440e07821e6a0a503dbcc8e,a1ba3c3babcad3b9edc06ef844726e66795f7b752b0faa284bcaee2ba2ec688f,2e2916e8e4444108c75790e7d8e8f336961095fcb8155cfb1a35664be8bff897,a5b462ced4360f9338b89d2ba583ff797a3d015570e25b5983b66256db7e6b35,cbd6db4f7f62d03afe4bee045ff83b6497e7f8bcf96154c3e92afe08e917a031
cifar10_raw_additive_exact_path_confirmatory,exact path,10804,44,0.5123999714851379,0.4909999966621399,59,19,1.391456657218933,-0.0011234032289910015,False,1,0.001,0.01,0.0,True,False,f2d9948222110494083fc31ad44cda388b241bd6fcb00ab23c1d50a450b99f47,cb5554f1f436e379bbab1ecd38639f58b81aec186506597d83a47fb6145b4ea7,86ddf9f6b2c27c8239854a87d116dffd4c65b2c25d80b6c8e696a8d93b60cbd9,337c585234324be69d03873bdbfdc43e0a2b7af53fc2f6aa6fd61d0bd4393355,2d360556d46c12c6c32cd244ba95f8d1368d4c4547cafb664b3ae094afb6ca55,ce3955af38a07282e8c8aec4886cc66fdf4149537e29a005db05f4468a763d33,1d8b161b0996fd28441833577c81d64733cca6bd4e1a7655450590947b044253,cbd6db4f7f62d03afe4bee045ff83b6497e7f8bcf96154c3e92afe08e917a031
cifar10_raw_additive_neuron_specific_confirmatory,neuron specific,10804,24,0.5297999978065491,0.5094999670982361,105,65,1.3639188386917114,-0.0004554101782134021,False,1,0.001,0.01,0.0,True,False,f2d9948222110494083fc31ad44cda388b241bd6fcb00ab23c1d50a450b99f47,cb5554f1f436e379bbab1ecd38639f58b81aec186506597d83a47fb6145b4ea7,4bf1a9636c77d9b7ec0cb3b347ca0e53172574da8a53cab684a6935cdb7f7ce3,38e3abaa04bf481871a44c11f08b60a5245b174e7a5e054fa5405a2ed2e48262,55e9af997717f79cdaab7c1bb83df29008476b4708588dd189a16f1a98a37be6,bc14c4172e09314a142d21b48c7a7a34c5ec2fc8bde52a30537ba2b894efa781,ed677e90687f92a510705a892bdd8fa0baeacbccc4aa40c3ddfed3068a932898,cbd6db4f7f62d03afe4bee045ff83b6497e7f8bcf96154c3e92afe08e917a031
cifar10_raw_additive_strict_scalar_confirmatory,strict scalar,10804,4,0.34459999203681946,0.3392999768257141,192,152,1.7721192747116088,5.396783655344183e-05,False,1,0.001,0.01,0.0,True,False,f2d9948222110494083fc31ad44cda388b241bd6fcb00ab23c1d50a450b99f47,cb5554f1f436e379bbab1ecd38639f58b81aec186506597d83a47fb6145b4ea7,8b946cfcba2683408d0bd781d11401e16e0c4046de9c68c192f1c6263e0b61cc,db68f990111cf760f405b0b25f9b855939ffe7536dd7ca19d9f9448070b9259d,ec94906c4edd8e3f367708600e1d2b1e63b5dae61f42ca4920d59a69621d881d,a3311883112480264c55ba6bf84e1d85c8a2171f0160c8b2870932185a3b880f,8c0e0ed55be3c6b3fc2a10783f3c36b07f0829f83084282fa5529a185bfd4e36,cbd6db4f7f62d03afe4bee045ff83b6497e7f8bcf96154c3e92afe08e917a031
cifar10_raw_additive_matched_bp_confirmatory,backpropagation,10805,65,0.5009999871253967,0.5008999705314636,65,25,1.4359833854675292,0.0037631913040624227,False,1,0.001,0.01,0.0,True,False,a65c1e2b781fe59ea1120c5f814f1a508c714f91515219baae96dd2e853b89ad,22144d5b55333ffc9369244b91dd6a4f44bc256377c8686d63211c180c741d6f,5dfaf4b6ac3d8580028c69260ffa2912a7e64e39f352d1a3c1371ec1a42f6f2f,ba52bba8b4e98e20c90d20de4514799317a538c0ddd15ef4947deaca48c5588c,c5e4a6b5b22e162d9978a7c2e2922517c471c3641030073d37aec076380699d7,57fb3ceb329b86d066b5c9d68a2c04d6adc40b414ae6750c583e30f375e7470b,4b855de45e4189d5dc4c559784d9ab0b4eb9653e5b63e172c3bb15e453354faf,865d316ed941d74bcf28ec98469a23b568020762b4429c4256572abd12f32316
cifar10_raw_additive_exact_path_confirmatory,exact path,10805,45,0.49559998512268066,0.5011000037193298,61,21,1.4346553562164306,7.900090882273508e-05,False,1,0.001,0.01,0.0,True,False,a65c1e2b781fe59ea1120c5f814f1a508c714f91515219baae96dd2e853b89ad,22144d5b55333ffc9369244b91dd6a4f44bc256377c8686d63211c180c741d6f,49e3bb54f5be0b25683e2ec7a1fe06ee87e4bad8c6e6c0b69d8c435e482fd9cf,8c93aeaabe65e424e8691c2550aca7b7000d62f5d6a16a3c3116c9cf90a6d3fc,ee38f0ce6279c9779bf164be55a614a891803634148a24a19c6ae5c26e47ab5d,c6d019cb06b4229f397c63d6c3bd6bf3e3087e797e175180cbc52910f15ef124,37434d3cc14310621602a29a1f67f12b51ef09cf4e37bd5ff6505fd5f183b7ee,865d316ed941d74bcf28ec98469a23b568020762b4429c4256572abd12f32316
cifar10_raw_additive_neuron_specific_confirmatory,neuron specific,10805,25,0.5069999694824219,0.5049999952316284,90,50,1.3926763362884522,0.00140871469093099,False,1,0.001,0.01,0.0,True,False,a65c1e2b781fe59ea1120c5f814f1a508c714f91515219baae96dd2e853b89ad,22144d5b55333ffc9369244b91dd6a4f44bc256377c8686d63211c180c741d6f,92b5170b5867d2cf102863c893b7c244c063fd0962380a1afc172ad130a07452,3b1d36b148617133a3d4e8ba43643e90e0967567202f69a14aaed6fae56a3d1a,79dd55e9ef5d6d8ad1b2485d2fa8aa84ecf77ed2100b8fe31989bfdedcf26f87,aaf90b36be2d517f40640955de6f201ba1bd54ffeb87a4e524f13d2c39a4df6f,df56ea4398d05844a43c78be4c71c1c4a8bf4a3037d090000dc2e2e1de536369,865d316ed941d74bcf28ec98469a23b568020762b4429c4256572abd12f32316
cifar10_raw_additive_strict_scalar_confirmatory,strict scalar,10805,5,0.34880000352859497,0.346699982881546,111,71,1.7553335987091065,0.001731403530005322,False,1,0.001,0.01,0.0,True,False,a65c1e2b781fe59ea1120c5f814f1a508c714f91515219baae96dd2e853b89ad,22144d5b55333ffc9369244b91dd6a4f44bc256377c8686d63211c180c741d6f,d5b9fa7a0fd3a5fea198d2de699f81eae946542ab64ce8e1ae601de892851ee4,8113193a26fdbb0bc379a3a80eb0022ce984a315e1105e3f24843d00c7b10f21,9211507295cfd4f96cfe08cc1529e7102ea93df3299410f26978e4406ef2e84b,95b74749cfb502dbb90f48fb6d4bd5cd611aef4d6544d66ff666c0261a31274c,050d2e4055622359ddf55e099eb78a9b2b1b1b27ee84b950e6987fd48318cc10,865d316ed941d74bcf28ec98469a23b568020762b4429c4256572abd12f32316
cifar10_raw_additive_matched_bp_confirmatory,backpropagation,10806,66,0.49399998784065247,0.5008000135421753,63,23,1.4417484664916993,0.002706397270433838,False,1,0.001,0.01,0.0,True,False,b14628fb8c5fc5df1682ebae791a33ec4589fceaacb73c3edc73d9cf24455a64,f1aff8f11ee02b293efd28a604339c97755658b25147e6e95c924663c9c5674c,eefbb76591c9d9c78ffdb95c20535a487d12ee3a2c0da5f53288e4821512e8d3,d5b5988ec893a9e65ebf034561b95b70a4387647b4ee7969bf52133e5881cc12,ee4ca280679fccbc044b11b4779bc7bdcd054c352086bf35ca0e7841ab722ae2,1ebe121afcad0e086ae4bca8b4536f4f7a6514722844d4e666a182faba743ef3,630e11ebb68224d8640af6f5049c66f3b7094194f18b67b2a9d5193c3e219d12,9953bfc2e372243ffe3628ef49b2ca716ec8930b58f0f3a64a6f0ba9b39c007e
cifar10_raw_additive_exact_path_confirmatory,exact path,10806,46,0.49539998173713684,0.4921000003814697,61,21,1.4418649950027467,-0.0021601572348854577,False,1,0.001,0.01,0.0,True,False,b14628fb8c5fc5df1682ebae791a33ec4589fceaacb73c3edc73d9cf24455a64,f1aff8f11ee02b293efd28a604339c97755658b25147e6e95c924663c9c5674c,51fcf15105e04ffcab2a91d5c2c4a6830ce03cb85760f91b3a1de7cac1ada5e1,8f3db2b2221be1bf6dc3281283a5a54641d6973d03629e7e10547f98bca82fca,78f17d3cbc72097d6a7de563e21a74b2d993a07728a3f7e03593a9ce41c4db02,15cc4f2d30e57c9d956c5d56179107e672be6d78145a40feebb33f15b5f7d2d4,c0b58623448dd7d3400891e977b29d70ee04ad120e81bb0d6616c28513e8a225,9953bfc2e372243ffe3628ef49b2ca716ec8930b58f0f3a64a6f0ba9b39c007e
cifar10_raw_additive_neuron_specific_confirmatory,neuron specific,10806,26,0.5076000094413757,0.5131999850273132,114,74,1.4253890857696534,-0.0016018799163355437,False,1,0.001,0.01,0.0,True,False,b14628fb8c5fc5df1682ebae791a33ec4589fceaacb73c3edc73d9cf24455a64,f1aff8f11ee02b293efd28a604339c97755658b25147e6e95c924663c9c5674c,afa8493dae1a1e114cd2febc00ed68e965240ae6bed4da1994d3fed6fcd15535,66c80c2fdec2cba0bf0fad9532b504202d54b7d83d37015046e7579186076bdd,8bdab53e182d1d1da88f8fedfc2152a8f38c0cc5c047cf9b1df837ebb0866167,359557cc170dd38031077e0b0712fb804b93b9f17104a52642340a24db511340,3aa1210cc07868571380c166de178e3010a50601a99c4e89969dc9d86aa2d285,9953bfc2e372243ffe3628ef49b2ca716ec8930b58f0f3a64a6f0ba9b39c007e
cifar10_raw_additive_strict_scalar_confirmatory,strict scalar,10806,6,0.35740000009536743,0.352400004863739,103,63,1.7691531677246093,0.00027838145862927406,False,1,0.001,0.01,0.0,True,False,b14628fb8c5fc5df1682ebae791a33ec4589fceaacb73c3edc73d9cf24455a64,f1aff8f11ee02b293efd28a604339c97755658b25147e6e95c924663c9c5674c,2ac4f24843979a779ca53a1794fe0364896bf26a38a2455b27b9cae6a39b2847,ce8c28f73a0ee7be55ae30ade85692236b5c74348b507ff5c6f349dc0cf01cca,9039551c002c737f0bc9b5c04fc79734c913bde222c65b48ef6ee777e0a7ce27,063183e36038002c2d9ba2f95193c6d38cf62c8e6d25b57a2b9901c5ca381e29,13d04e0449d5ba6b7a479b0027c3d9de284aff0b49c44b093c196cc5228e3d4e,9953bfc2e372243ffe3628ef49b2ca716ec8930b58f0f3a64a6f0ba9b39c007e
cifar10_raw_additive_matched_bp_confirmatory,backpropagation,10807,67,0.4957999885082245,0.4957999885082245,58,18,1.4355237178802491,0.001398063828439381,False,1,0.001,0.01,0.0,True,False,77522c9259135bd28aa981303d247f6c41b3ee7c58bc49aecfbb3385d98d71d8,9d96249c7279087fc0018dc1ef25290ebbffc69f124e3113ba570f7885ff06d8,66f08f5d283ca315c878e700f1d734f0354123ce97e294e6ce19206ac3cc583f,647c00d9434e4e516dcf11e5adae52d36e7016620de3c4c6f8cd1b6a1aead682,ace3a39cc4115ee60df96b148291249d14222065da0000a0c6f09987daf6bd5b,000b57b3763689ed8f51730c0dbffef12d13ef4501f1320a6432e8ebfc3060e7,207dd4a35425db10b8fbb2c8d3162c712aaa535b4b6dfe56ffc3f9172777ae66,1d4b3c6501087b9aeb36c3f866ab94319317f3b4d1d24ae2af9e35261c54ba5e
cifar10_raw_additive_exact_path_confirmatory,exact path,10807,47,0.501800000667572,0.5019999742507935,63,23,1.4185269525527955,6.36123287317033e-05,False,1,0.001,0.01,0.0,True,False,77522c9259135bd28aa981303d247f6c41b3ee7c58bc49aecfbb3385d98d71d8,9d96249c7279087fc0018dc1ef25290ebbffc69f124e3113ba570f7885ff06d8,93d3b183e2f558d6f9e848fcd2f56c61e696792272815fc30c2c90eebd94559e,3d0728a8ac41432a4bad261a3701ca564a943fbb1f4c5882e6b6d4014b7c96a0,d4ec9747bb94099edc6debf91010d4795d2bf0b704e957247912afabde463dfb,65ed123bb50181a4b3251e46f1aeb1e8312adb42b6060d1b22b7ad2c3da81f36,fae8acf51193c5b4825920f5622c47dd78e27f0a7b574f2d7e072aa0f5060e5e,1d4b3c6501087b9aeb36c3f866ab94319317f3b4d1d24ae2af9e35261c54ba5e
cifar10_raw_additive_neuron_specific_confirmatory,neuron specific,10807,27,0.5153999924659729,0.5087999701499939,96,56,1.390715581893921,0.0021756156308723393,False,1,0.001,0.01,0.0,True,False,77522c9259135bd28aa981303d247f6c41b3ee7c58bc49aecfbb3385d98d71d8,9d96249c7279087fc0018dc1ef25290ebbffc69f124e3113ba570f7885ff06d8,98727e453be037f68827b85372763e83e67faf10fb09347e5cb052aaee73e03f,93de2c4f305412440e9fa2db26f56cac06e7d9dd72f68927519036224ec29c3d,cc414632f843bf903a37f4c57f1a616d1eabe8f9ad933bed76b4d5c3737f0dde,ead49135ba3c644271ee6a0d2028b5a266cf913972871929a3158178005243e8,2301611a3fb1161f81a0adcf28c02ea51ff60f6d986503692d3ef14011e3d4a3,1d4b3c6501087b9aeb36c3f866ab94319317f3b4d1d24ae2af9e35261c54ba5e
